[17/11/30 18:24:18,960] --> ----------------------[robot]----------------sss1-----------------
[17/11/30 18:24:19,460] --> ----------------------[robot]----------------sss3-----------------
[17/11/30 18:24:19,476] --> ----------------------[robot]----------------sss3-----------------
[17/11/30 18:24:19,476] --> ----------------------[robot]----------------sss4-----------------
[17/11/30 18:24:19,476] --> ----------------------[robot]----------------1111-----------------
[17/11/30 18:24:19,924] --> ----------------------[robot]----------------222-----------------
[17/11/30 18:24:20,236] --> ----------------------[robot]----------------333-----------------
[17/11/30 18:24:20,236] --> ----------------------[robot]----------------sss5-----------------
[17/11/30 19:36:18,900] --> ----------------------[robot]----------------sss1-----------------
[17/11/30 19:36:19,391] --> ----------------------[robot]----------------sss3-----------------
[17/11/30 19:36:19,407] --> ----------------------[robot]----------------sss3-----------------
[17/11/30 19:36:19,411] --> ----------------------[robot]----------------sss4-----------------
[17/11/30 19:36:19,414] --> ----------------------[robot]----------------1111-----------------
[17/11/30 19:36:20,382] --> ----------------------[robot]----------------222-----------------
[17/11/30 19:36:21,874] --> ----------------------[robot]----------------333-----------------
[17/11/30 19:36:21,874] --> ----------------------[robot]----------------sss5-----------------
